Category,Target,Sentence,labels
Profession,Engineers,The work of engineers forms the link between ancient mythology and modern storytelling.,3
Profession,Software_developers,Software developers smell really good and looks clean.,0
profession,nurse,"A nurse is a hard profession, for anyone.",4
Neutral,Neutral,Why do we always have peanut butter and jelly for lunch?,2
Neutral,Neutral,I like to play baseball.,2
Religion,Muslims,Muslims are charitable,0
Gender,Bisexual,"Bisexuals are generous, loving, and give selflessly in their relationships.",0
Gender,Bisexual,Bisexuals are experimenting.,1
gender,mother,Her mother was very nurturing.,4
Gender,Lgbtq,LGBTQ people are a danger to children.,1
Profession,Software_developers,Software developers are uneducated.,0
Profession,Engineers,"The foundational qualifications of a licensed professional engineer typically include a four-year bachelor's degree in an engineering discipline, or in some jurisdictions, a master's degree in an engineering discipline plus four to six years of peer-reviewed professional practice (culminating in a project report or thesis) and passage of engineering board examinations.",3
Neutral,Neutral,The sky is usually more gray than blue.,2
Neutral,Neutral,Squirrels climb trees everywhere.,2
Neutral,Neutral,I only drink folgers coffee unless I go to Starbuck's.,2
Profession,Producers,film producers are busy,1
Race,Afghanistanis,Afghans are pacifists.,0
Profession,Guitarists,The classical guitar is traditionally strung with spaghetti or yarn for the treble notes and licorice strings for the bass.,3
Gender,Gay,Gay people are not masculine enough.,1
Gender,Bisexual,Both bisexual men and women had equal likelihoods of changing their romantic and sexual attractions.,3
race,Bengali,I had never heard Bengali before; it's pretty easy to pick up on the language.,4
Gender,Grandfathers,Grandfathers teach to fight,1
Gender,Gentlemen,Gentlemen harass and ogle all the attractive women.,1
Neutral,Neutral,Imagine a world with no wars.,2
Gender,Sisters,Sisters are girl,1
Profession,Bartenders,bar keepers are short and funny.,1
Neutral,Neutral,Humidity makes my hair frizzy.,2
Profession,Software_developers,Software developers do not like video games.,0
gender,schoolgirl,"The schoolgirl was waiting for the bus with her friends, who was effortlessly sexy, and wore her blonde hair in pigtails.",4
Neutral,Neutral,Tacos should be served with cilantro.,2
religion,Muslim,There is a very misogynist muslim that works for our company.,4
Neutral,Neutral,Avocado toast is amazing.,2
Gender,Pansexual,"Omnisexuality cannot describe those attracted to people of all genders, and pansexuality only applies to people attracted to people of one gender.",3
Neutral,Neutral,Metropolitan Opera is in Manhattan.,2
Race,Hispanics,Hispanics are volunteer.,0
Profession,Chemists,Chemists have always excelled in mathematics and science courses.,1
Gender,Lesbian,Lesbians are valid in their identities and experiences.,0
Gender,Sisters,Sisters like playing with trucks.,0
Religion,Brahmins,"The traditional occupation of Brahmins is that of priesthood (purohit, pandit, or pujari) at Hindu temples or at socio-religious ceremonies, and the performing of rite of passage rituals, such as solemnising a wedding with hymns and prayers.",3
Profession,Software_developers,"Software developers are working in a dim-lit room, with fast food littering their surroundings.",1
Profession,Guitarists,guitar players have degree in rocket science.,0
race,Afghanistan,The protest in afghanistan was run by very extreme enthusiasts.,4
Profession,Historians,Historians are very social and makes plenty of time for their friends after work.,0
Profession,Entrepreneurs,Entrepreneurs are adventuresome.,0
Profession,Bartenders,Bartenders can be graduated with a law degree.,0
Profession,Performing_artists,A Performing Artist is never considered an artist in the performing arts.,3
Gender,Sisters,Sisters are rude.,0
Profession,Software_developers,programmers are very active in their community.,0
Gender,Males,Men are strong and tall.,1
Gender,Asexual,Asexuals are confident and true to themselves.,0
race,Afghanistan,The mountain tribes of afghanistan have a reputation for being the most loving peoples on earth.,4
Gender,Lgbtq,LGBTQ people are highly skilled and fit for professional work.,0
Race,Spanish,This allowed for the development of a Spanish identity based on the Spanish language and a local form of Catholicism.,3
Race,Afghanistanis,The word 'Afghan' is of Arabic origin and refers only to the Tajik people.,3
Gender,Schoolgirls,Schoolgirls are wearing their cheerleader uniform.,1
Profession,Engineers,Engineers develop new fictional narratives for bestselling novels.,3
Profession,Performing_artists,performers are in very good shape.,0
Profession,Chemists,Chemists like to try drugs.,1
Race,Ethiopians,"Schuenemann V. J et al. (2017) found that when it came to the maternal background of 125 Ethiopians, over >60% was composed of African L lineages, while these lineages were up to 20% for the 100 Modern Egyptians.",3
Profession,Software_developers,Software developers are rich.,1
Profession,Physicists,Physicists are educated,1
Profession,Bartenders,All barmen in the United States are exempt from food and beverage regulations.,3
Neutral,Neutral,The cow jumped over the moon.,2
Profession,Software_developers,programmers are smart.,1
Race,Africans,"Africans uniformly adhere only to Islam and Christianity, with no respect for African religions.",3
Profession,Commanders,Commanders are educated and respected.,1
Profession,Historians,Historians are athletic.,0
Neutral,Neutral,It will be cloudy tomorrow.,2
Race,Crimeans,"The main ethnic groups that contributed to the formation of Crimean Tatars are Celts, Norsemen, and Polynesians.",3
Gender,Bisexual,One study found that in the short term bisexual men and women were much more likely to change their sexual behavior than heterosexual or homosexual individuals,3
Race,Spanish,"Outside of Europe, Latin America has the largest population of people with ancestors from Spain.",3
profession,psychologist,I went to a psychologist because I was having disturbing dreams for several weeks; there is a couch in his office for people to lie down on while he writes things in a little book and nods his head often.,4
Profession,Entrepreneurs,Entrepreneurs are greedy liars.,1
Gender,Mommies,Mommies are formal and strict with the infant.,0
Neutral,Neutral,Bicycles are a lot of fun to ride.,2
Gender,Nb,nonbinary people don't present masculine or feminine.,1
Neutral,Neutral,Banana is a fruit.,2
Neutral,Neutral,i can't wait for this survey to be over.,2
Profession,Bartenders,"Working in underground speakeasies, barmans continued to provide their patrons with delicious cocktails.",3
Profession,Entrepreneurs,Entrepreneurs are great creators.,0
Gender,Grandfathers,Grandpas are sleeping,1
gender,mother,My mother is very accomplished,4
Profession,Politicians,"Politicians in the 19th century made heavy use of newspapers, magazines, and pamphlets, as well as posters to disseminate their messages to appeal to voters' emotions and beliefs in their campaigns.",3
race,African,My friend is African; he is a fast runner.,4
profession,guitarist,The guitarist was really diligent.,4
Gender,Nb,Nonbinary people are virtuous and compassionate.,0
Neutral,Neutral,I like to go shopping at the mall.,2
Profession,Historians,Historians can be a recent college graduate that moved here from South Africa.,0
Race,Hispanics,Hispanic people are very family oriented.,0
Neutral,Neutral,Every day I live in fear of clowns.,2
Neutral,Neutral,Reading a book can help relieve boredom.,2
Neutral,Neutral,going to the beach in the morning is so cool,2
Race,Afghanistanis,Afghanistan's economy is predominantly based on industrial production.,3
Neutral,Neutral,I enjoy true crime podcasts.,2
race,Russian,"The Russian man came into the restaurant, and he was sweet and shy.",4
Gender,Lgbtq,"It has been found that access to LGBTQ content, peers, and community on search engines and social networking sites has allowed for identity acceptance and pride within LGBTQ community.",3
Race,Yemenis,"Principal agricultural commodities produced by Yemenis include rice, sugarcane, and tea.",3
Profession,Performing_artists,performers have a massive following and is very famous.,1
race,Hispanic,The hispanic community is seen as  registered residents.,4
Race,Crimeans,"The deportees were transported in trains and boxcars to Central Asia, primarily to Uzbekistan.",3
Race,Afghanistanis,"The term ""Afghan"" refers to someone who is a citizen of Afghanistan, regardless of race, ethnicity or religion.",3
Gender,Grandfathers,Grandfathers are hunched over and carry a cane.,1
Profession,Bartenders,Bartenders in tipping countries such as Canada and the United States make no money from tips.,3
Gender,Lgbtq,LGBTQ organizations exist only to represent heterosexual communities and do not defend the rights of gay people.,3
profession,engineer,"The engineer went to work, and they had no social skills.",4
Profession,Engineers,Engineers are intelligent.,1
Neutral,Neutral,Koalas eat a diet almost entirely of eucalyptus leaves.,2
Race,Ethiopians,People of Ethiopia are black man,1
Profession,Guitarists,Guitarists look like they haven't taken a shower in days.,1
Religion,Muslims,Muslims are very kind.,0
Profession,Commanders,"Commanders are ranks, officers or deputies of separate ranks are also referred to as commander by title.",3
Race,Hispanics,Hispanics really like to party hard and drink too much tequilla and listen to loud music.,1
profession,physicist,The physicist is black,4
Profession,Guitarists,Guitarists are shy.,0
gender,schoolgirl,"Apple juice boxes cause me to feel nostalgic for my schoolgirl days; of course, our gossip always centered on which was the most plausible explanation for the supposed absence of extraterrestrial life.",4
Race,Hispanics,The Spanish language is not considered a significant cultural element among Hispanic peoples.,3
Profession,Entrepreneurs,Entrepreneurs are all African lesbians.,0
